time,open,high,low,close,Volume
2024-11-26,7.2511,7.2585,7.2477,7.2515,0
2024-11-27,7.2515,7.2579,7.2446,7.2453,0
2024-11-28,7.2453,7.2524,7.239,7.2435,0
2024-11-29,7.2337,7.2431,7.2271,7.2418,0
2024-12-02,7.2599,7.273,7.2599,7.2714,0
2024-12-03,7.2906,7.2916,7.2812,7.2853,0
2024-12-04,7.2853,7.2853,7.2621,7.2627,0
2024-12-05,7.2627,7.2741,7.2592,7.2592,0
2024-12-06,7.2587,7.2695,7.2526,7.2695,0
2024-12-09,7.2695,7.2802,7.2599,7.2599,0
2024-12-10,7.2599,7.2632,7.2387,7.2495,0
2024-12-11,7.2495,7.2719,7.2416,7.26,0
2024-12-12,7.26,7.2691,7.2575,7.268,0
2024-12-13,7.268,7.2813,7.268,7.2751,0
2024-12-16,7.2751,7.2839,7.273,7.2831,0
2024-12-17,7.2831,7.286,7.2792,7.2841,0
2024-12-18,7.2841,7.2864,7.281,7.2859,0
2024-12-19,7.2859,7.2992,7.2859,7.296,0
2024-12-20,7.296,7.299,7.2937,7.2956,0
2024-12-23,7.2956,7.2992,7.2922,7.2978,0
2024-12-24,7.2978,7.299,7.2941,7.2941,0
2024-12-25,7.2941,7.2988,7.2941,7.297,0
2024-12-26,7.2972,7.2993,7.2972,7.2976,0
2024-12-27,7.2976,7.2993,7.2966,7.2975,0
2024-12-30,7.2975,7.2995,7.2975,7.2988,0
2024-12-31,7.2988,7.2993,7.2938,7.2988,0
2025-01-01,7.2988,7.2993,7.2988,7.2993,0
2025-01-02,7.2977,7.2994,7.2977,7.2989,0
2025-01-03,7.2989,7.3194,7.2989,7.3194,0
2025-01-06,7.3194,7.3295,7.312,7.3218,0
2025-01-07,7.3267,7.3286,7.3221,7.3259,0
2025-01-08,7.3284,7.3317,7.3284,7.3311,0
2025-01-09,7.3311,7.3321,7.3299,7.3321,0
2025-01-10,7.3299,7.3327,7.3299,7.3321,0
2025-01-13,7.3321,7.3321,7.331,7.3314,0
2025-01-14,7.3314,7.3314,7.3282,7.3311,0
2025-01-15,7.3306,7.3318,7.3295,7.3299,0
2025-01-16,7.3299,7.3316,7.3299,7.3311,0
2025-01-17,7.3311,7.3311,7.324,7.3244,0
2025-01-20,7.3244,7.3244,7.3005,7.3005,0
2025-01-21,7.3005,7.3005,7.2647,7.2707,0
2025-01-22,7.2707,7.2826,7.264,7.2723,0
2025-01-23,7.2723,7.288,7.2722,7.2875,0
2025-01-24,7.2875,7.2875,7.2371,7.2435,0
2025-01-27,7.2435,7.2667,7.2435,7.2502,0
2025-01-28,7.2502,7.2507,7.2469,7.2502,0
2025-01-29,7.2502,7.2507,7.2469,7.2502,0
2025-01-30,7.2502,7.2505,7.2469,7.2502,0
2025-01-31,7.2502,7.2502,7.2469,7.2502,0
2025-02-03,7.2502,7.2505,7.2469,7.2502,0
2025-02-04,7.2502,7.2502,7.2469,7.2502,0
2025-02-05,7.2502,7.285,7.2502,7.2715,0
2025-02-06,7.2715,7.2929,7.2715,7.2878,0
2025-02-07,7.2878,7.2901,7.283,7.2877,0
2025-02-10,7.2877,7.3082,7.2877,7.304,0
2025-02-11,7.304,7.308,7.304,7.3067,0
2025-02-12,7.3067,7.3095,7.3067,7.3083,0
2025-02-13,7.3074,7.3077,7.2828,7.2888,0
2025-02-14,7.2883,7.2893,7.253,7.253,0
2025-02-17,7.2525,7.2637,7.2443,7.2624,0
2025-02-18,7.2624,7.2821,7.2624,7.2781,0
2025-02-19,7.2781,7.2859,7.2781,7.2828,0
